Version,0.036,,,,,,,,,,,,,Lavar,,,,,,,,,,
Member Label,Member Description,P_Familj,Group Name,Variable Name,Internet link,Latin,P_Storaarter,P_Ris,P_BuskarTrad,P_Barande,P_Habitat_gräsm,P_Habitat_våtm,P_Mossor,P_Lavar,P_H8230,P_H6110,P_Silikat,P_Vatten,P_Kalk,P_Dike,P_Artrikt,P_Hällmark,P_naturahabitat,P_Sand
0 Arter Saknas,Artprovytan tom,-,SmaProvArt,Spy_Utgar,https://interfacelift.com/wallpaper/7yz4ma1/03338_emptiness_1024x1024.jpg,,,,,,,,,,,,,,,,,,,
1210 Driftvallar,1210 Driftvallar,,Naturahabitat,1210,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
1220 Sten Och Grusvallar,1220 Sten och grusvallar,,Naturahabitat,1220,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
1230 Havsklippor,1230 Havsklippor,,Naturahabitat,1230,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
1310 Glasörtstränder,1310 Glasörtstränder,,Naturahabitat,1310,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
1330 Salta Strandängar,1330 Salta strandängar,,Naturahabitat,1330,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
1610 Åsöar I Östersjön,1610 Åsöar i Östersjön,,Naturahabitat,1610,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
1620 Skär  I Östersjön,1620 Skär  i Östersjön,,Naturahabitat,1620,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
1630 Strandängar Vid Östersjön,1630 Strandängar vid Östersjön,,Naturahabitat,1630,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
1640 Sandstränder,1640 Sandstränder,,Naturahabitat,1640,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
1952 Moränstrand,1952 Moränstrand,,Naturahabitat,1952,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
2110 Fördyner,2110 Fördyner,,Naturahabitat,2110,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
2120 Vita Dyner,2120 Vita dyner,,Naturahabitat,2120,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
2130 Grå Dyner,2130 Grå dyner,,Naturahabitat,2130,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
2140 Risdyner,2140 Risdyner,,Naturahabitat,2140,http://www.slu.se/Documents/externwebben/s-fak/skoglig-resurshallning/Landskapsanalys_publikationer/2013/MOTHNILS_Habitatkompendium2013.pdf,,,,,,,,,,,,,,,,,,Naturahabitat,
